피드백ID,고객ID,등록일,내용,평가점수,유형
FB000045,CUST002268,2024-08-12,서비스가 좋습니다,5,불만
FB000046,CUST001772,2023-04-14,상담원이 친절했습니다,4,건의
FB000047,CUST003430,2023-07-17,계약 과정이 복잡해요,3,칭찬
FB000048,CUST002911,2023-08-22,기술자가 전문적이었습니다,4,불만
FB000049,CUST001733,2024-10-19,만족합니다,5,칭찬
FB000050,CUST002784,2023-06-28,불만이 많습니다,2,불만
FB000051,CUST002033,2024-01-08,앱이 사용하기 편해요,5,칭찬
FB000052,CUST000429,2023-07-05,만족합니다,5,칭찬
FB000053,CUST004308,2024-06-13,고객지원이 부족합니다,3,건의
FB000054,CUST003857,2024-01-23,고객지원이 부족합니다,5,칭찬
FB000055,CUST004034,2023-04-30,만족합니다,4,건의
FB000056,CUST004972,2023-08-08,앱이 사용하기 편해요,5,불만
FB000057,CUST003033,2023-06-12,상담원이 친절했습니다,5,칭찬
FB000058,CUST000367,2023-09-07,서비스가 좋습니다,5,건의
FB000059,CUST004564,2024-09-04,기술자가 전문적이었습니다,3,건의
FB000060,CUST000497,2023-09-18,서비스가 좋습니다,5,불만
FB000061,CUST003160,2023-12-10,요금이 비싼 편입니다,3,칭찬
FB000062,CUST001173,2024-02-26,상담원이 친절했습니다,4,불만
FB000063,CUST003426,2024-11-26,요금이 비싼 편입니다,2,불만
FB000064,CUST003579,2023-10-18,다시 이용하고 싶습니다,4,칭찬
FB000065,CUST003635,2023-12-08,서비스가 좋습니다,3,불만
FB000066,CUST004384,2023-05-10,불만이 많습니다,4,건의
FB000067,CUST000743,2023-08-10,서비스가 좋습니다,5,불만
FB000068,CUST003497,2023-11-08,서비스가 좋습니다,3,건의
FB000069,CUST002063,2023-07-10,가격이 합리적입니다,5,칭찬
FB000070,CUST000409,2024-05-27,앱이 사용하기 편해요,5,불만
FB000071,CUST001796,2024-02-14,공급이 안정적이네요,1,건의
FB000072,CUST001650,2023-11-02,계약 과정이 복잡해요,5,칭찬
FB000073,CUST001618,2023-11-02,공급이 안정적이네요,4,칭찬
FB000074,CUST001238,2024-09-16,다시 이용하고 싶습니다,1,불만
FB000075,CUST002496,2024-03-29,공급이 안정적이네요,4,건의
FB000076,CUST003687,2024-03-14,다시 이용하고 싶습니다,4,불만
FB000077,CUST001133,2023-01-06,가격이 합리적입니다,5,칭찬
FB000078,CUST000113,2023-06-27,청구서가 늦게 와요,4,건의
FB000079,CUST002359,2023-09-28,앱이 사용하기 편해요,3,불만
FB000080,CUST000466,2024-08-20,만족합니다,5,건의
FB000081,CUST003284,2024-06-08,개선이 필요합니다,5,칭찬
FB000082,CUST004132,2024-03-16,다시 이용하고 싶습니다,5,불만
FB000083,CUST003069,2024-03-15,신청 처리가 빨라요,4,칭찬
FB000084,CUST003510,2023-07-17,만족합니다,3,건의
FB000085,CUST003954,2023-10-02,신청 처리가 빨라요,5,칭찬
FB000086,CUST003991,2023-06-28,상담원이 친절했습니다,5,불만
FB000087,CUST000469,2023-02-25,가격이 합리적입니다,3,칭찬
FB000088,CUST002773,2024-08-20,개선이 필요합니다,5,건의
FB000089,CUST001441,2024-01-01,다시 이용하고 싶습니다,5,건의
FB000090,CUST000357,2023-09-11,만족합니다,4,칭찬
FB000091,CUST000870,2024-03-23,다시 이용하고 싶습니다,5,건의
FB000092,CUST003269,2024-04-09,불만이 많습니다,5,불만
FB000093,CUST001102,2024-10-13,만족합니다,5,건의
FB000094,CUST001123,2024-11-17,다시 이용하고 싶습니다,4,칭찬
FB000095,CUST004290,2024-04-29,신청 처리가 빨라요,5,칭찬
FB000096,CUST000252,2024-10-02,만족합니다,5,칭찬
FB000097,CUST002377,2023-09-06,다시 이용하고 싶습니다,2,불만
FB000098,CUST002907,2023-10-11,기술자가 전문적이었습니다,4,건의
FB000099,CUST004588,2024-11-08,서비스가 좋습니다,3,칭찬
FB000100,CUST001295,2024-08-09,계약 과정이 복잡해요,4,칭찬
FB000101,CUST000556,2024-07-17,신청 처리가 빨라요,5,건의
FB000102,CUST003267,2024-10-14,신청 처리가 빨라요,3,불만
FB000103,CUST001635,2024-10-02,청구서가 늦게 와요,2,건의
FB000104,CUST002663,2024-01-05,요금이 비싼 편입니다,5,건의
FB000105,CUST000806,2023-07-01,공급이 안정적이네요,5,불만
FB000106,CUST002161,2024-09-28,기술자가 전문적이었습니다,4,건의
FB000107,CUST000798,2024-04-28,기술자가 전문적이었습니다,4,건의
FB000108,CUST004424,2023-08-26,요금이 비싼 편입니다,5,건의
FB000109,CUST002394,2023-12-31,앱이 사용하기 편해요,4,건의
FB000110,CUST004564,2024-02-19,기술자가 전문적이었습니다,5,건의
FB000111,CUST001314,2023-04-05,서비스가 좋습니다,5,건의
FB000112,CUST000949,2023-12-09,고객지원이 부족합니다,4,불만
FB000113,CUST001520,2024-12-05,가격이 합리적입니다,4,불만
FB000114,CUST000974,2023-07-01,가격이 합리적입니다,4,불만
FB000115,CUST002871,2024-01-28,신청 처리가 빨라요,5,불만
FB000116,CUST000368,2024-02-18,앱이 사용하기 편해요,4,칭찬
FB000117,CUST001632,2024-01-15,공급이 안정적이네요,4,건의
FB000118,CUST003510,2023-12-07,계약 과정이 복잡해요,4,칭찬
FB000119,CUST004465,2024-07-30,상담원이 친절했습니다,1,건의
FB000120,CUST000469,2023-03-09,고객지원이 부족합니다,1,건의
FB000121,CUST001871,2023-10-01,서비스가 좋습니다,5,칭찬
FB000122,CUST001065,2024-05-14,요금이 비싼 편입니다,5,불만
FB000123,CUST004990,2024-02-04,청구서가 늦게 와요,5,불만
FB000124,CUST002366,2023-06-11,개선이 필요합니다,5,건의
FB000125,CUST003210,2024-01-14,기술자가 전문적이었습니다,1,불만
FB000126,CUST004904,2023-09-10,서비스가 좋습니다,3,칭찬
FB000127,CUST001736,2024-10-16,계약 과정이 복잡해요,5,칭찬
FB000128,CUST003132,2024-06-07,개선이 필요합니다,5,칭찬
FB000129,CUST000436,2023-03-04,청구서가 늦게 와요,5,건의
FB000130,CUST004215,2024-09-26,기술자가 전문적이었습니다,4,불만
FB000131,CUST002182,2024-03-02,서비스가 좋습니다,5,칭찬
FB000132,CUST001026,2024-03-02,불만이 많습니다,4,칭찬
FB000133,CUST003090,2023-11-04,계약 과정이 복잡해요,5,칭찬
FB000134,CUST002625,2023-04-18,신청 처리가 빨라요,5,칭찬
FB000135,CUST004653,2023-09-30,개선이 필요합니다,4,칭찬
FB000136,CUST001121,2024-04-29,계약 과정이 복잡해요,3,칭찬
FB000137,CUST003470,2024-01-14,계약 과정이 복잡해요,5,칭찬
FB000138,CUST002712,2023-08-13,서비스가 좋습니다,5,불만
FB000139,CUST002782,2023-09-13,계약 과정이 복잡해요,5,불만
FB000140,CUST001220,2024-02-19,만족합니다,4,건의
FB000141,CUST004033,2024-08-18,만족합니다,5,건의
FB000142,CUST003263,2024-12-15,서비스가 좋습니다,1,건의
FB000143,CUST003777,2024-01-15,요금이 비싼 편입니다,3,불만
FB000144,CUST001709,2023-06-13,공급이 안정적이네요,3,칭찬
FB000145,CUST001841,2023-10-23,기술자가 전문적이었습니다,4,칭찬
FB000146,CUST001863,2024-03-28,불만이 많습니다,5,칭찬
FB000147,CUST002190,2023-10-05,공급이 안정적이네요,3,칭찬
FB000148,CUST003377,2024-02-08,상담원이 친절했습니다,4,불만
FB000149,CUST004556,2024-03-20,계약 과정이 복잡해요,5,건의
FB000150,CUST000630,2023-11-22,요금이 비싼 편입니다,5,건의
FB000151,CUST004015,2024-11-13,만족합니다,5,칭찬
FB000152,CUST000084,2023-08-27,청구서가 늦게 와요,5,건의
FB000153,CUST000412,2023-12-13,불만이 많습니다,4,건의
FB000154,CUST002891,2023-08-02,가격이 합리적입니다,4,칭찬
FB000155,CUST003643,2024-07-28,청구서가 늦게 와요,4,불만
FB000156,CUST003926,2024-08-17,청구서가 늦게 와요,5,칭찬
FB000157,CUST002358,2024-12-16,상담원이 친절했습니다,4,건의
FB000158,CUST004316,2024-12-06,요금이 비싼 편입니다,5,칭찬
FB000159,CUST002003,2024-12-17,기술자가 전문적이었습니다,4,건의
FB000160,CUST001076,2024-02-22,요금이 비싼 편입니다,3,건의
FB000161,CUST000001,2023-05-11,불만이 많습니다,5,건의
FB000162,CUST003300,2024-10-11,서비스가 좋습니다,5,칭찬
FB000163,CUST004961,2024-08-13,앱이 사용하기 편해요,5,건의
FB000164,CUST000697,2024-07-18,신청 처리가 빨라요,5,건의
FB000165,CUST001849,2023-12-14,개선이 필요합니다,5,건의
FB000166,CUST000498,2023-09-13,서비스가 좋습니다,4,칭찬
FB000167,CUST000898,2023-06-07,신청 처리가 빨라요,3,건의
FB000168,CUST000696,2023-10-24,앱이 사용하기 편해요,2,불만
FB000169,CUST004565,2023-07-27,앱이 사용하기 편해요,4,건의
FB000170,CUST004251,2024-12-25,개선이 필요합니다,4,건의
FB000171,CUST004733,2024-02-02,기술자가 전문적이었습니다,5,칭찬
FB000172,CUST004570,2024-05-20,공급이 안정적이네요,1,불만
FB000173,CUST003361,2024-08-29,청구서가 늦게 와요,4,건의
FB000174,CUST002353,2023-06-04,불만이 많습니다,4,불만
FB000175,CUST000641,2023-11-01,공급이 안정적이네요,5,건의
FB000176,CUST003039,2023-04-16,계약 과정이 복잡해요,4,건의
FB000177,CUST003565,2023-12-13,기술자가 전문적이었습니다,1,칭찬
FB000178,CUST004799,2024-05-01,계약 과정이 복잡해요,3,불만
FB000179,CUST001733,2023-03-25,고객지원이 부족합니다,3,건의
FB000180,CUST002136,2023-06-10,상담원이 친절했습니다,5,건의
FB000181,CUST001184,2024-10-18,만족합니다,4,건의
FB000182,CUST003092,2024-04-13,다시 이용하고 싶습니다,3,불만
FB000183,CUST000243,2024-10-22,가격이 합리적입니다,4,건의
FB000184,CUST002777,2024-12-15,신청 처리가 빨라요,1,건의
FB000185,CUST004641,2024-03-04,신청 처리가 빨라요,3,불만
FB000186,CUST003666,2023-07-21,청구서가 늦게 와요,1,불만
FB000187,CUST003595,2024-10-02,앱이 사용하기 편해요,4,건의
FB000188,CUST001013,2024-07-14,상담원이 친절했습니다,5,불만
FB000189,CUST000053,2023-08-18,고객지원이 부족합니다,1,불만
FB000190,CUST001360,2023-11-28,공급이 안정적이네요,5,불만
FB000191,CUST001739,2023-10-05,앱이 사용하기 편해요,4,건의
FB000192,CUST002079,2023-08-06,청구서가 늦게 와요,5,칭찬
FB000193,CUST002322,2024-11-06,기술자가 전문적이었습니다,5,칭찬
FB000194,CUST003258,2023-10-21,기술자가 전문적이었습니다,4,건의
FB000195,CUST004138,2024-02-25,신청 처리가 빨라요,4,칭찬
FB000196,CUST000207,2024-07-15,개선이 필요합니다,4,건의
FB000197,CUST003013,2023-12-03,신청 처리가 빨라요,4,칭찬
FB000198,CUST002342,2024-05-27,기술자가 전문적이었습니다,4,불만
FB000199,CUST002631,2024-03-15,가격이 합리적입니다,4,불만
FB000200,CUST002175,2023-09-10,서비스가 좋습니다,3,건의
FB000201,CUST002594,2024-11-15,공급이 안정적이네요,4,불만
FB000202,CUST004758,2024-08-14,요금이 비싼 편입니다,5,불만
FB000203,CUST004998,2023-01-27,신청 처리가 빨라요,2,칭찬
FB000204,CUST004933,2024-02-27,계약 과정이 복잡해요,5,칭찬
FB000205,CUST001317,2023-04-14,가격이 합리적입니다,4,불만
FB000206,CUST002417,2024-02-07,공급이 안정적이네요,5,불만
FB000207,CUST004039,2024-07-05,만족합니다,4,불만
FB000208,CUST001560,2023-05-31,개선이 필요합니다,5,불만
FB000209,CUST001442,2023-10-31,앱이 사용하기 편해요,4,칭찬
FB000210,CUST002494,2024-08-02,개선이 필요합니다,5,불만
FB000211,CUST004286,2024-04-26,다시 이용하고 싶습니다,5,불만
FB000212,CUST001533,2024-08-27,다시 이용하고 싶습니다,4,건의
FB000213,CUST001349,2024-10-16,청구서가 늦게 와요,5,불만
FB000214,CUST001147,2023-08-31,요금이 비싼 편입니다,4,건의
FB000215,CUST001936,2024-09-22,가격이 합리적입니다,4,칭찬
FB000216,CUST001754,2024-09-15,개선이 필요합니다,4,불만
FB000217,CUST002958,2024-07-13,기술자가 전문적이었습니다,5,불만
FB000218,CUST003717,2024-11-04,앱이 사용하기 편해요,4,건의
FB000219,CUST002079,2023-03-21,개선이 필요합니다,4,건의
FB000220,CUST004766,2024-03-01,상담원이 친절했습니다,3,불만
FB000221,CUST001556,2023-04-09,상담원이 친절했습니다,5,칭찬
FB000222,CUST000501,2023-12-29,불만이 많습니다,4,불만
FB000223,CUST001046,2023-08-18,개선이 필요합니다,4,건의
FB000224,CUST002746,2024-11-20,공급이 안정적이네요,5,불만
FB000225,CUST000868,2024-05-27,신청 처리가 빨라요,3,건의
FB000226,CUST003303,2023-03-27,서비스가 좋습니다,5,건의
FB000227,CUST000075,2023-04-14,요금이 비싼 편입니다,5,불만
FB000228,CUST002406,2024-02-08,신청 처리가 빨라요,5,칭찬
FB000229,CUST003512,2024-06-11,다시 이용하고 싶습니다,5,불만
FB000230,CUST000787,2024-11-02,청구서가 늦게 와요,5,건의
FB000231,CUST004335,2023-07-21,상담원이 친절했습니다,4,불만
FB000232,CUST000558,2024-12-12,개선이 필요합니다,4,건의
FB000233,CUST000459,2024-04-17,기술자가 전문적이었습니다,5,칭찬
FB000234,CUST002979,2023-04-01,상담원이 친절했습니다,5,칭찬
FB000235,CUST002426,2023-01-30,앱이 사용하기 편해요,5,칭찬
FB000236,CUST000553,2023-09-08,신청 처리가 빨라요,4,건의
FB000237,CUST003532,2023-01-24,청구서가 늦게 와요,4,불만
FB000238,CUST003297,2024-05-24,계약 과정이 복잡해요,1,불만
FB000239,CUST003231,2023-08-02,다시 이용하고 싶습니다,5,건의
FB000240,CUST003002,2024-04-30,상담원이 친절했습니다,5,불만
FB000241,CUST004740,2023-05-14,서비스가 좋습니다,5,건의
FB000242,CUST002067,2024-01-24,청구서가 늦게 와요,4,건의
FB000243,CUST004096,2023-03-02,고객지원이 부족합니다,4,건의
FB000244,CUST002412,2024-04-27,청구서가 늦게 와요,4,건의
FB000245,CUST000381,2024-12-08,기술자가 전문적이었습니다,4,불만
FB000246,CUST002159,2023-06-20,서비스가 좋습니다,4,불만
FB000247,CUST004321,2023-01-05,서비스가 좋습니다,4,건의
FB000248,CUST004739,2023-04-08,서비스가 좋습니다,5,불만
FB000249,CUST003397,2023-10-08,상담원이 친절했습니다,3,건의
FB000250,CUST004846,2024-07-03,다시 이용하고 싶습니다,5,건의
FB000251,CUST004274,2024-09-20,공급이 안정적이네요,3,불만
FB000252,CUST001153,2024-03-09,불만이 많습니다,5,불만
FB000253,CUST002927,2024-05-08,계약 과정이 복잡해요,4,불만
FB000254,CUST002303,2024-07-21,기술자가 전문적이었습니다,4,건의
FB000255,CUST001873,2024-12-29,계약 과정이 복잡해요,5,불만
FB000256,CUST002276,2023-01-20,불만이 많습니다,4,건의
FB000257,CUST002843,2024-07-23,고객지원이 부족합니다,4,건의
FB000258,CUST001139,2023-05-24,불만이 많습니다,2,건의
FB000259,CUST004899,2024-01-31,서비스가 좋습니다,3,건의
FB000260,CUST001149,2023-10-09,기술자가 전문적이었습니다,5,칭찬
FB000261,CUST001815,2024-08-10,고객지원이 부족합니다,1,칭찬
FB000262,CUST000087,2023-08-01,요금이 비싼 편입니다,4,건의
FB000263,CUST002077,2023-05-01,청구서가 늦게 와요,5,칭찬
FB000264,CUST000691,2023-05-15,만족합니다,4,칭찬
FB000265,CUST001689,2023-05-06,요금이 비싼 편입니다,3,건의
FB000266,CUST003576,2023-10-20,계약 과정이 복잡해요,4,건의
FB000267,CUST002445,2024-02-12,신청 처리가 빨라요,2,불만
FB000268,CUST001584,2023-07-21,기술자가 전문적이었습니다,4,건의
FB000269,CUST000531,2024-08-29,계약 과정이 복잡해요,4,불만
FB000270,CUST004473,2023-11-01,상담원이 친절했습니다,5,건의
FB000271,CUST004193,2024-03-28,계약 과정이 복잡해요,5,건의
FB000272,CUST003459,2024-02-11,상담원이 친절했습니다,5,건의
FB000273,CUST004040,2023-07-08,만족합니다,4,건의
FB000274,CUST002218,2023-11-28,신청 처리가 빨라요,2,칭찬
FB000275,CUST000339,2024-10-19,앱이 사용하기 편해요,4,건의
FB000276,CUST004618,2023-10-12,신청 처리가 빨라요,3,불만
FB000277,CUST001499,2023-05-28,가격이 합리적입니다,5,칭찬
FB000278,CUST002758,2024-08-15,계약 과정이 복잡해요,5,불만
FB000279,CUST003577,2024-10-10,신청 처리가 빨라요,4,건의
FB000280,CUST001712,2023-06-18,요금이 비싼 편입니다,3,칭찬
FB000281,CUST002287,2024-02-02,만족합니다,2,건의
FB000282,CUST001275,2024-12-20,가격이 합리적입니다,4,칭찬
FB000283,CUST002289,2023-10-31,요금이 비싼 편입니다,3,건의
FB000284,CUST001535,2023-12-19,서비스가 좋습니다,1,불만
FB000285,CUST003126,2024-02-20,요금이 비싼 편입니다,5,건의
FB000286,CUST002085,2023-07-30,다시 이용하고 싶습니다,4,건의
FB000287,CUST000452,2023-07-15,고객지원이 부족합니다,5,칭찬
FB000288,CUST000910,2024-09-04,요금이 비싼 편입니다,5,칭찬
FB000289,CUST003722,2023-04-22,개선이 필요합니다,4,불만
FB000290,CUST002947,2024-04-16,만족합니다,4,칭찬
FB000291,CUST004884,2023-05-23,기술자가 전문적이었습니다,2,불만
FB000292,CUST001599,2024-08-22,요금이 비싼 편입니다,5,건의
FB000293,CUST000104,2024-08-25,가격이 합리적입니다,3,불만
FB000294,CUST004589,2024-10-07,청구서가 늦게 와요,2,건의
FB000295,CUST004384,2023-11-04,요금이 비싼 편입니다,4,칭찬
FB000296,CUST001739,2023-01-12,다시 이용하고 싶습니다,5,칭찬
FB000297,CUST001409,2023-08-09,개선이 필요합니다,3,불만
FB000298,CUST002394,2024-02-09,청구서가 늦게 와요,4,건의
FB000299,CUST001177,2024-08-09,요금이 비싼 편입니다,5,불만
FB000300,CUST003179,2023-09-26,불만이 많습니다,4,불만
FB000301,CUST001488,2024-06-01,청구서가 늦게 와요,5,건의
FB000302,CUST001511,2024-11-11,신청 처리가 빨라요,4,칭찬
FB000303,CUST002049,2023-03-23,계약 과정이 복잡해요,4,불만
FB000304,CUST000400,2024-11-14,고객지원이 부족합니다,5,건의
FB000305,CUST003910,2023-04-23,고객지원이 부족합니다,4,건의
FB000306,CUST003053,2023-07-05,계약 과정이 복잡해요,3,칭찬
FB000307,CUST001120,2024-10-19,청구서가 늦게 와요,2,칭찬
FB000308,CUST003724,2024-02-28,상담원이 친절했습니다,5,건의
FB000309,CUST004209,2024-12-20,다시 이용하고 싶습니다,5,건의
FB000310,CUST001222,2024-01-28,개선이 필요합니다,1,건의
FB000311,CUST004207,2023-10-27,청구서가 늦게 와요,5,불만
FB000312,CUST002053,2024-08-03,불만이 많습니다,5,건의
FB000313,CUST001187,2024-04-16,가격이 합리적입니다,5,건의
FB000314,CUST001735,2023-04-01,다시 이용하고 싶습니다,5,건의
FB000315,CUST002028,2024-09-27,신청 처리가 빨라요,5,건의
FB000316,CUST001625,2024-02-24,만족합니다,4,건의
FB000317,CUST002158,2024-04-07,계약 과정이 복잡해요,4,건의
FB000318,CUST003956,2024-11-19,서비스가 좋습니다,5,불만
FB000319,CUST004904,2023-01-27,서비스가 좋습니다,5,건의
FB000320,CUST004500,2024-02-26,기술자가 전문적이었습니다,5,건의
FB000321,CUST002357,2024-11-29,개선이 필요합니다,3,칭찬
FB000322,CUST003732,2024-07-17,앱이 사용하기 편해요,5,칭찬
FB000323,CUST003251,2023-08-18,만족합니다,4,건의
FB000324,CUST004767,2023-08-12,불만이 많습니다,2,칭찬
FB000325,CUST001581,2023-12-03,앱이 사용하기 편해요,2,건의
FB000326,CUST004592,2023-08-14,불만이 많습니다,3,칭찬
FB000327,CUST001079,2024-09-06,고객지원이 부족합니다,3,건의
FB000328,CUST001966,2023-04-24,기술자가 전문적이었습니다,4,칭찬
FB000329,CUST002822,2023-02-03,앱이 사용하기 편해요,5,불만
FB000330,CUST001263,2023-04-18,청구서가 늦게 와요,5,불만
FB000331,CUST004814,2024-02-03,고객지원이 부족합니다,5,건의
FB000332,CUST001368,2023-04-21,요금이 비싼 편입니다,2,칭찬
FB000333,CUST004173,2023-06-23,요금이 비싼 편입니다,5,건의
FB000334,CUST002783,2023-12-25,개선이 필요합니다,4,건의
FB000335,CUST000424,2024-08-07,다시 이용하고 싶습니다,4,불만
FB000336,CUST004211,2023-01-29,개선이 필요합니다,5,건의
FB000337,CUST003715,2023-04-27,상담원이 친절했습니다,4,건의
FB000338,CUST004818,2024-02-15,공급이 안정적이네요,4,건의
FB000339,CUST000957,2023-09-10,가격이 합리적입니다,3,칭찬
FB000340,CUST004811,2024-08-04,기술자가 전문적이었습니다,4,칭찬
FB000341,CUST001116,2024-09-08,서비스가 좋습니다,5,불만
FB000342,CUST003671,2023-10-06,가격이 합리적입니다,3,건의
FB000343,CUST000678,2024-08-22,다시 이용하고 싶습니다,4,불만
FB000344,CUST000276,2023-02-04,계약 과정이 복잡해요,4,칭찬
FB000345,CUST000316,2023-03-25,계약 과정이 복잡해요,4,불만
FB000346,CUST004607,2023-07-19,상담원이 친절했습니다,4,불만
FB000347,CUST000463,2023-08-20,신청 처리가 빨라요,5,칭찬
FB000348,CUST000546,2023-08-26,청구서가 늦게 와요,5,건의
FB000349,CUST000451,2023-10-06,기술자가 전문적이었습니다,3,불만
FB000350,CUST003935,2023-10-06,상담원이 친절했습니다,3,칭찬
FB000351,CUST001649,2023-08-09,공급이 안정적이네요,3,건의
FB000352,CUST001911,2024-05-02,만족합니다,5,건의
FB000353,CUST002595,2024-11-12,불만이 많습니다,5,건의
FB000354,CUST000933,2024-03-05,개선이 필요합니다,5,불만
FB000355,CUST003113,2024-05-08,다시 이용하고 싶습니다,5,건의
FB000356,CUST001059,2024-11-03,공급이 안정적이네요,5,불만
FB000357,CUST004687,2023-07-30,공급이 안정적이네요,5,칭찬
FB000358,CUST002821,2024-12-03,서비스가 좋습니다,4,칭찬
FB000359,CUST000185,2023-10-08,기술자가 전문적이었습니다,4,불만
FB000360,CUST001649,2024-06-30,요금이 비싼 편입니다,3,칭찬
FB000361,CUST001782,2023-04-13,신청 처리가 빨라요,3,칭찬
FB000362,CUST003283,2023-10-16,기술자가 전문적이었습니다,5,칭찬
FB000363,CUST003749,2023-02-16,만족합니다,4,칭찬
FB000364,CUST001683,2024-07-30,가격이 합리적입니다,4,건의
FB000365,CUST001119,2024-07-12,청구서가 늦게 와요,3,건의
FB000366,CUST004150,2024-12-08,불만이 많습니다,4,불만
FB000367,CUST004432,2023-09-29,기술자가 전문적이었습니다,5,칭찬
FB000368,CUST002595,2023-04-01,신청 처리가 빨라요,4,건의
FB000369,CUST004020,2023-03-05,다시 이용하고 싶습니다,4,건의
FB000370,CUST002865,2023-03-14,서비스가 좋습니다,3,불만
FB000371,CUST004965,2024-03-20,공급이 안정적이네요,4,불만
FB000372,CUST004105,2024-05-20,신청 처리가 빨라요,3,칭찬
FB000373,CUST004948,2024-09-06,공급이 안정적이네요,5,칭찬
FB000374,CUST000682,2023-08-10,개선이 필요합니다,4,건의
FB000375,CUST002634,2023-02-08,앱이 사용하기 편해요,4,건의
FB000376,CUST003370,2023-03-17,계약 과정이 복잡해요,5,건의
FB000377,CUST000710,2023-09-15,앱이 사용하기 편해요,5,칭찬
FB000378,CUST000540,2024-07-11,신청 처리가 빨라요,5,건의
FB000379,CUST003069,2023-04-04,다시 이용하고 싶습니다,5,건의
FB000380,CUST003498,2023-04-17,요금이 비싼 편입니다,3,칭찬
FB000381,CUST000214,2024-02-15,앱이 사용하기 편해요,5,건의
FB000382,CUST004607,2023-01-11,요금이 비싼 편입니다,3,칭찬
FB000383,CUST003513,2023-10-17,서비스가 좋습니다,2,불만
FB000384,CUST004742,2024-08-15,공급이 안정적이네요,5,불만
FB000385,CUST003692,2024-11-01,다시 이용하고 싶습니다,4,건의
FB000386,CUST001880,2024-12-28,신청 처리가 빨라요,4,칭찬
FB000387,CUST000060,2024-08-27,기술자가 전문적이었습니다,5,불만
FB000388,CUST004609,2024-11-09,청구서가 늦게 와요,2,칭찬
FB000389,CUST002580,2024-11-04,앱이 사용하기 편해요,5,불만
FB000390,CUST002965,2023-03-27,불만이 많습니다,4,건의
FB000391,CUST001535,2023-01-26,계약 과정이 복잡해요,4,건의
FB000392,CUST001223,2023-02-18,신청 처리가 빨라요,5,칭찬
FB000393,CUST000339,2023-11-16,앱이 사용하기 편해요,4,칭찬
FB000394,CUST003744,2024-11-02,신청 처리가 빨라요,3,건의
FB000395,CUST000610,2023-06-15,서비스가 좋습니다,5,불만
